LP_addr,balance
0x000afce0e19523ca2566b142bd12968fe1e44fe8,464.4794267741633
0x001b71fad769b3cd47fd4c9849c704fdfabf6096,8560.28701309615
0x002570980aa53893c6981765698b6ebab8ae7ea1,120244.38795455986
0x006d559fc29090589d02fb71d4142aa58b030013,97.72339627727041
0x009ec7d76febecabd5c73cb13f6d0fb83e45d450,10730.225862506353
0x02ae6dfaffc2c1f410fcad1f36885f6cc8b677d5,487.7489314513575
0x034e1f7a66b582b68e511b325ed0ccb71bb4bc12,7313.598412282785
0x03d4682823c33995184a6a85a97f4ca1715c9d5c,459.18115210394507
0x054efb6d55466ba2ffb4133f39ae67985a314bed,7109.70858766965
0x05a79e69c0dcb9335cbfa5b579635cbbd60f70ba,7351.856323225832
0x05c01104bd6c4c099fe4d13b0faf0a8c94f11082,45152.667041048364
0x06a2006ca85813e652506b865e590f44eae3928a,1409.3567914446983
0x0705adac1869aa2648ddcf00da24b0ab6b76ede1,3349.475868459852
0x0848db7cb495e7b9ada1d4dc972b9a526d014d84,39907.317571830645
0x0a8162d91d6bf4530950e539068c75f7ddf972bc,514.162114202816
0x0b5665d637f45d6fff6c4afd4ea4191904ef38bb,3251.7916825215616
0x0be1b7f1a2eacde1cf5b48a4a1034c70dac06a70,401.59927050830805
0x0c16b6d59a9d242f9cf6ca1999e372dd89a098a2,421.0695792110601
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,15500.982975496248
0x0daefc5251f8f7f5a5dc987e8a6c96d9deb84559,1363.8936691400304
0x0e0bab764f38d63abf08680a50b33718c98b90e6,7209.054943374241
0x0ed8486119b992258a3754decaa36bf8bed543e8,5561.961368602551
0x0f1107f97af6ae6eb37a9d35060aaa21cdaa109f,14370.838208713842
0x11300251b903ba70f51262f3e49aa7c22f81e1b2,1484.1817978183674
0x1215fed867ad6eb5f078fc8b477a1a32eb59d75d,8974.778941146624
0x126bc064dbd1d0205fc608c3178a60c9706b482c,359.84756310248616
0x1280cfea89a214b490c202fa22688813df8d8c04,11485.643589865544
0x15558eb2aeb93ed561515a47441bf49250933ba9,476630.6800164889
0x15a919e499d88a71e94d34ab76986799f69b4ff2,2376.386270579653
0x1758bc68a87abfede6a213666d15c028f2708b2b,729.3601431221465
0x1843c3d1dd3e2564fada8ea50bb73819c6b53047,3293.72353305746
0x184f19323defce76af86bb5a63aa976cd9f256d7,725.826794274798
0x1891c8d948bc041b5e7c1a35185cc593a33b4a6c,4864.492720248292
0x1a9a6198c28d4dd5b9ab58e84677520ec741cb29,268.3790871147262
0x1c7b100cc8a2966d35ac6cc0ccaf4d5cba463b94,24781.69591615931
0x1ddb98275a09552b5be11e8e3118684ed6a809fc,1482.0602248224252
0x1e2394b6b88f9329127d98347f6e696e4af33e13,39.845358431633706
0x1f3bcd409b2b2d88259aca77115e858ea3c65e9c,985.9747748604781
0x1fac06467b7d9c3a9361f42ab7bd09e6a5719ec7,78265.29485576003
0x2017ade0a289de891ca7e733513b264cfec2c8ce,686.2415791793504
0x207372a1df51a428d1b7e8aa2c81f0225d0a94b3,2797.855839199647
0x2196b9fe1117df9324108d82dffc849492c23c14,9772.339627727048
