chainID,basetoken_addr,nft_addr,vol_amt
137,0xpolygon,0xd0d5d72554cb47d2ec07e0e849c1b8fae6bb5f3a,0.05483458034589865
137,0xpolygon,0x40de175e5de5139c1e754d6fdc8b01ac23065700,0.0484549467568593
137,0xpolygon,0x66405cc1876e49ecd3f9771b030046f5f328892a,0.06632968260159808
137,0xpolygon,0x9723488dc1524849a82917a61a38bbe24a8219c1,0.019595909679182198
137,0xpolygon,0x21457717da4d370ea16a8eaa3cb46ba2f9797ab4,0.052250959609742
137,0xpolygon,0xe10f6940c84b1bf8477fda04335405841b66cec7,0.013202549305947355
137,0xpolygon,0xaa8af64ee67bc318d513a6562f096db7fcd5233b,0.033912782014079254
137,0xpolygon,0xc36bc2aaa1dff1ff92f04dd89708608dc5715beb,0.005700285132119938
137,0xpolygon,0xca63894b1c911515f1c034be3509afc008b42d83,0.01225701155625804
137,0xpolygon,0xb3d1b43b4f8ed8ed23868987e7a6fe64f886de0c,0.011112420014330968
137,0xpolygon,0xc8bf9f20fc169c3d74f0ec3ba1cd933b8beaafaf,0.010518940893799756
137,0xpolygon,0xfb36bfee83c3724b46d70833b740854052b225a3,0.012590131631124187
137,0xpolygon,0x12c79518e69339849ec646cdaf491c25e9c73238,0.01446180878082442
137,0xpolygon,0x70ad4e92329126dd543e0d6ed3ca87260a75e075,0.004701467238475509
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0xd0d5d72554cb47d2ec07e0e849c1b8fae6bb5f3a,13812.0
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0x21457717da4d370ea16a8eaa3cb46ba2f9797ab4,14111.0
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0xe10f6940c84b1bf8477fda04335405841b66cec7,12.0
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0xaa8af64ee67bc318d513a6562f096db7fcd5233b,70000.0
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0xca63894b1c911515f1c034be3509afc008b42d83,11.0
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0xb3d1b43b4f8ed8ed23868987e7a6fe64f886de0c,10.0
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0xc8bf9f20fc169c3d74f0ec3ba1cd933b8beaafaf,12.0
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0xfb36bfee83c3724b46d70833b740854052b225a3,10.0
137,0x282d8efce846a88b159800bd4130ad77443fa1a1,0x12c79518e69339849ec646cdaf491c25e9c73238,10.0
